GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.decorators.html,HtmlTitleDecorator,3,161,2,18,1,41,3,13,1,5
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.decorators.html,HtmlHeadDecorator,6,104,1,17,2,25,3,11,2,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.decorators.html,HtmlBodyDecorator,3,42,0,10,1,7,1,7,1,2
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.decorators.html,HtmlDocumentDecorator,9,138,0,14,3,31,3,13,3,6
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.decorators.xml,XmlDocumentDecorator,5,118,4,18,1,32,5,12,1,5
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.context.extensions,IContextExtensions,5,71,1,7,2,15,2,8,1,5
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,IModelExtensions,54,463,26,80,16,107,27,56,3,27
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,ITemplateEventExtensions,3,93,1,27,1,14,2,19,1,6
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,IProcessableElementTagExtensions,8,88,4,16,4,15,5,8,1,2
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,IAttributeExtensions,3,35,1,3,1,2,2,2,1,1
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,IStandaloneElementTagExtensions,3,21,0,6,1,3,1,4,1,1
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,EventIterator,0,30,0,2,0,6,0,4,0,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,ITextExtensions,3,19,1,3,1,2,2,3,1,2
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,ICloseElementTagExtensions,3,14,1,3,1,2,2,2,1,1
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.models.extensions,ChildModelIterator,0,36,0,2,0,8,0,4,0,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.includes,InsertProcessor,0,61,0,0,0,13,0,2,0,2
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.includes,IncludeProcessor,44,115,6,10,10,27,4,7,0,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.layoutdialect.includes,ReplaceProcessor,0,59,0,0,0,12,0,2,0,2
